control 1	control 2	control 3	control 4	control 5	control 6	IL-17+TNFa 1	IL-17+TNFa 2	IL-17+TNFa 3	IL-17+TNFa 4	IL-17+TNFa 5	IL-17+TNFa 6
ABCC4	4.29945482402452	5.25264623421604	5.34425741975819	6.15839098848552	5.95522475539424	5.30954050271207	5.7119512478532	6.57191187562651	6.47977811545285	6.46721540616089	6.74169004571357	7.07792095585877
ABCC5	5.95228515483583	4.73663254430516	5.54602020978683	4.11260834386075	5.36596583682118	6.15371071328451	3.67921762733833	4.4368828554446	5.43246142937395	4.42551443353061	4.92323997871912	5.05168891669081
ABCC6	4.3288609213382	4.45245762449108	4.61903048786747	3.53232288891279	3.87900604411382	5.69423522260027	4.34488513630646	4.03339622690143	4.41739448209144	3.62571517215558	3.76441709764563	4.97286176104014
ABCC8	-3.15400561093548	-3.15400561093548	-3.15400561093548	-3.15400561093547	-3.15400561093547	-3.15400561093548	-3.15400561093548	-3.15400561093548	-3.15400561093547	-3.15400561093548	-3.15400561093548	-3.15400561093547
ABCC9	4.52672593452063	3.39925323126379	4.67551859958915	3.50747764874317	5.2551740771906	4.17333125894247	5.65275260002397	3.85868038445124	4.45887766011252	2.74099767586	5.75113589286716	4.74514673424803
ABCD1	2.26430787466097	1.87664928994822	1.93624138204352	1.52506486111143	1.75477244717897	2.72953503735489	1.43613107862767	1.36300032117422	2.45234823353971	1.95778961693415	2.03057600033361	1.52793028622228
ABCD2	2.3155699171751	2.48619631436124	2.26553352884355	1.16090086530844	1.84344438592297	2.65032033361768	0.880810510891051	1.17205597987088	1.23656334477511	0.116367427832577	0.593000626022468	2.15243195137426
ABCD3	7.95537980317615	8.1610269666116	8.06756192673834	7.74549671873729	8.0735683801881	7.93520559945603	7.96213225655576	8.08004422104066	7.6956482288478	7.44563498651482	7.92654039786013	7.99536901715
ABCD4	1.44305080037041	1.46840642386151	0.663770589294364	0.137604538820817	1.92698044941093	1.55932487850435	1.28438135259475	0.951928093090318	1.158141584757	2.06020141327386	0.954516838895699	-1.67163015057421
ABCE1	6.76755840765763	6.84994329355456	7.04844014291045	6.85149378555287	6.85474240258212	6.73071189449126	6.96995089341199	7.25684094735269	6.77817874945501	6.92020217296315	6.91152719264611	7.17468362795309
ABCF1	6.16986103116412	5.89149274273308	6.01802652136532	5.97572571944856	6.03033788754454	6.37310774733485	6.19202310844234	5.96518716072422	6.82016741151339	6.58870466569491	6.47881376451663	6.00011545441376
ABCF2	3.92890768347734	4.07775219259541	4.15176375521495	3.92833809618857	4.25133162031481	4.04294200566097	4.05714986891733	4.50503574587846	4.51502038040292	4.24594749572252	4.01015977362816	3.81970721612326
ABCF2-H2BE1	2.8084622205125	1.7529746655162	-2.4545599573671	0.429760871871588	2.08080734587183	1.59360683063419	-1.38642893766531	-3.15400561093548	1.1172719574478	1.15518520761833	1.59062834287016	1.45024922192906
ABCF3	5.72627552148845	5.64068332579027	5.82996664750289	5.59436096664634	5.67016076337047	5.96691824828744	5.67733378554036	5.65803288180159	6.09656407773458	6.10463615455672	5.94466301011118	5.80588421433023
ABCG1	2.26430787466097	2.13627434117777	2.17886285521061	1.39564594717772	2.34657314052881	2.86200534230846	1.96150290038888	1.99433807006027	2.20175525459265	1.32935952362904	1.82730776279259	1.31069457486133
ABCG2	-3.15400561093548	-3.15400561093548	-3.15400561093548	-3.15400561093547	-1.39686781106379	-3.15400561093548	-3.15400561093548	-3.15400561093548	-1.46721553688449	-3.15400561093548	-3.15400561093548	-3.15400561093547
ABCG4	-2.13167222902314	-2.10149014703922	-1.63212964682836	-3.15400561093547	-2.1889732147773	-2.44839575428493	-3.15400561093548	-2.66294651762884	-1.46721553688449	-2.56064018328506	-2.59041744995853	-2.61942497858341
ABCG5	-3.15400561093548	-3.15400561093548	-3.15400561093548	-3.15400561093547	-3.15400561093547	-3.15400561093548	-3.15400561093548	-3.15400561093548	-3.15400561093547	-3.15400561093548	-3.15400561093548	-3.15400561093547
ABCG8	-3.15400561093548	-3.15400561093548	-3.15400561093548	-3.15400561093547	-3.15400561093547	-3.15400561093548	-3.15400561093548	-3.15400561093548	-3.15400561093547	-3.15400561093548	-3.15400561093548	-3.15400561093547
ABHD1	-3.15400561093548	-3.15400561093548	-3.15400561093548	-2.62833536174735	-3.15400561093547	-3.15400561093548	-3.15400561093548	-3.15400561093548	-3.15400561093547	-2.56064018328506	-3.15400561093548	-3.15400561093547
ABHD10	5.48639764395618	5.52634877230835	5.3956040499309	5.28098848133727	5.19956808990224	5.36765174770448	5.19104094756091	5.439207911975	5.31538721554427	4.83962535284664	5.20525735816261	5.53665881050206
ABHD11	4.32469656910759	4.21532041080663	4.26653938639771	4.21206856437577	3.72997198409017	4.61004344053897	3.76199106327191	3.6957973847709	4.38762980400223	4.68793118551633	4.03872022414238	3.93825841097184
ABHD12	4.77277875905003	4.32796080469188	4.82569923518272	4.8433415360135	4.7354838986495	4.7419849177404	4.77035828773171	3.98441275453665	5.13776366963775	4.70699936407024	4.32041399791463	4.1038407087711
ABHD12B	3.34925617364011	2.98108251033955	3.10318543737529	3.26221986711839	3.26784975501005	3.36704642116406	2.53252651397315	2.13563593535079	1.77232586643514	2.58482991785765	2.41159843892655	2.48663823520302
ABHD13	5.32898673683041	5.4062781989792	5.27020481112608	5.34198621415103	5.44425382806959	5.30696004553496	5.21432509534604	5.95886169657525	5.18549760132194	5.02071738005519	5.14304338553475	5.43949594297792
ABHD14A	3.30766256048567	3.19579727614227	3.19437928612247	2.90129273347264	2.62194213709588	3.3571026038801	2.59836683475593	2.56011585753513	3.19389222014863	2.47045819609386	2.14007242284666	2.5123486336657
ABHD14A-ACY1	-3.15400561093548	-3.15400561093548	1.54394766032398	-3.15400561093547	1.53276333126948	2.23845620753451	-3.15400561093548	-3.15400561093548	-3.15400561093547	-3.15400561093548	1.3073514225309	1.52793028622228
ABHD14B	6.44004711369679	6.48917492993084	6.54861187388169	6.4019635487861	5.94022389982368	6.5504714490147	5.60229691405744	5.77905929856164	5.66292219673097	5.7070537367514	5.22403205882126	5.82267901244321
ABHD15	4.52309595849647	4.18692575646351	3.96366487656591	4.27965889707523	4.30696422777062	4.8698747700759	3.80724174720848	3.5575157893964	4.15503521295226	4.05576231598078	3.95628365698454	3.65057325331593
ABHD16A	5.37199801103224	5.51306702323716	5.57176021252822	5.60903344172597	5.3067681324855	5.82983724622326	5.44477029377164	5.71669403566326	5.98029839598998	5.73828328567782	5.78805391451957	5.68392000942201
ABHD16B	1.05781852378707	0.94294327985824	0.952082891223643	0.531851627708385	0.988561297835259	1.52420843379685	1.31603513623492	1.1425918977615	1.41577768771911	1.57054150340312	1.39832240144161	0.558597638158248
ABHD17A	3.57639734529204	3.96521976042384	3.97656904596126	3.93301042170888	3.95560003636297	4.38386765503124	3.52523827600341	3.56863632830497	3.69522929377727	4.02570148655462	3.98102248476616	3.04000037758566
ABHD17B	3.54093796365374	3.03517830296103	3.74731185499656	4.01902514577975	3.44124126597985	4.19582241184257	2.79088453518636	3.60149269930586	3.2326760830785	2.99998576973088	3.06715289105103	3.0132383589258
ABHD17C	5.53767025260345	5.39390972649211	5.36157681069489	5.36118113865354	5.5151409043195	5.83879716544737	4.9651158345584	4.82785139285324	5.29491673424297	5.02071738005519	5.15830801200529	4.98209165084333
ABHD18	2.63097151416259	2.71553661857968	2.80345190591168	2.87239447885079	2.80972106606632	3.05888921356761	2.00098844094873	2.70825120343852	2.29632722494741	2.54299581769004	2.33690215609784	2.83114010124695
ABHD2	8.18893876619904	7.85037261741904	7.78124326998997	7.52107064621288	7.76781051079584	8.30207797775768	7.59415553516223	7.22863670175754	7.65740622473605	7.42994026210815	7.33505067104739	7.32642356375337
ABHD3	4.74500049700766	4.34947072508331	4.5687868836193	4.45881712469403	4.29522222579356	4.81644675379382	4.61679259772166	4.59207864674875	5.08044453908401	4.80759427180142	4.49202147229923	4.87963345231487
ABHD4	5.76367172309307	5.74174639408858	5.37138104825744	5.47288322677409	5.57139341182691	5.61300211069672	5.43579358205111	5.33397725670218	5.31312700850159	5.54518919443817	5.59161716074805	5.1593507689466
ABHD5	6.08623355646654	6.60279780034146	6.39608093911634	6.55604838855284	6.39824952745707	6.1835581353357	5.9650170506948	6.2323416810398	5.91770838972524	6.18163140446113	6.25773688836156	6.22474045222965
ABHD6	4.51945682601841	4.32362006673257	4.10552010236307	3.9561477316901	4.44088391086515	4.43202854550068	4.10323462613196	4.313410014531	4.35284366849364	3.84240330933844	3.62068245723375	4.17398247008425
ABHD8	3.76031226381866	3.59204067532565	3.64594794762683	3.56880646046142	3.64617539316347	4.0796872598909	3.45589097560911	3.39834172141248	3.90186317475152	3.70372979466819	3.71807864378061	3.1257831708938
ABI1	6.2478061487689	6.44888899073859	6.64269292158937	6.17130087712924	6.29295893892625	6.73743513731444	6.03445056120246	6.26603557427332	6.13801615377889	6.13897453298497	6.11303709259223	6.38727765653655
ABI2	5.79561665386879	5.76913928535956	5.91454033216655	5.68855068986837	5.70459781262776	6.35822916871036	5.36189528668926	5.47215215943442	5.56753931889099	5.29725027582792	4.92579074786716	5.59947922691017
ABI3	-3.15400561093548	-3.15400561093548	-3.15400561093548	-3.15400561093547	-3.15400561093547	-1.97661856553436	-3.15400561093548	-3.15400561093548	-3.15400561093547	-3.15400561093548	-3.15400561093548	-2.23025394200085
ABI3BP	4.86742737859707	4.74314788162592	4.96495120619061	3.57479835501362	5.15478682872175	5.80078573536547	3.58492279310085	3.63361742130231	3.6020283789265	2.32992455790091	3.94626811140356	3.04881185680243
ABITRAM	6.27071625760348	6.21463390126711	6.18298406857752	5.65075873556542	5.90331457035828	6.36940246326015	6.27891639704403	6.32542561377638	5.97744666196666	5.60909182128605	5.72939924951266	6.50560927938353
ABL1	5.51591901554017	5.63893748642982	5.47049278209617	5.41059480452379	5.50158005703725	5.91533357030615	5.66816485168957	5.37097285690651	6.23193919800323	6.16678715253573	6.12972751007765	5.44284237360767
ABL2	4.81198160527432	4.71359432233298	4.80052085238866	4.60065140158658	4.8225888029784	5.01606679428795	4.80980333900157	4.69968146089112	5.05361801507765	4.89886854686285	4.72074765405431	4.77200185975384
ABLIM1	9.27725278391282	9.20787357432898	9.23656467559256	9.62679523805735	9.65574030772717	9.89927973982735	8.38829616892725	8.71712141230248	8.75038144821027	8.93596308975707	8.90374015520085	8.85497012394647
ABLIM2	-3.15400561093548	-3.15400561093548	-3.15400561093548	-1.94062304480294	-3.15400561093547	-3.15400561093548	-3.15400561093548	-3.15400561093548	-3.15400561093547	-3.15400561093548	-3.15400561093548	-0.479939949807163
ABLIM3	1.05781852378707	-0.365781950258505	0.129076057558219	1.54961160980737	4.20606373631515	3.78558469639865	-1.86541708036361	-1.55593519757318	0.150152636207295	1.89266084238575	4.6970523102265	2.52503402930687
ABO	4.56253203318051	3.92567002420219	4.19657105118927	3.9047467592742	5.16557579418979	5.50231925051202	3.95026318033607	3.60149269930586	3.93751609510161	3.44822637982329	4.64846111602563	4.6411955232591
ABR	6.52779643415325	6.381578434683	6.27072499859834	6.62480428902763	6.5351624333017	6.7258903228972	6.85276673592467	6.33685317927638	6.94438441252099	7.57451389762433	7.38178222125252	6.70829714470105
ABRA	-1.53934144092778	-2.5338212663461	-1.98551670049643	-2.62833536174735	-3.15400561093547	-2.44839575428493	-3.15400561093548	-2.29725687659454	-2.51723111717014	-2.56064018328506	-3.15400561093548	-2.61942497858341
ABRACL	5.00650733597279	5.03362220971234	4.93551429542021	5.28281983626825	4.7978374516404	4.64724059048982	5.67733378554036	5.54855904120703	5.19534871092553	4.9531151047486	4.94100137409694	5.14298491459717
ABRAXAS1	4.20292907538143	4.2972977439679	4.24002853712559	3.61605895171698	3.86847924173869	4.40814905781525	3.92482526715521	4.01318817239779	3.62407687014329	2.95815515155082	3.07636598674269	4.31213404098416
ABRAXAS2	5.36795650327296	5.48613097544579	5.57812409118266	5.30100665092512	5.3067681324855	5.30178524326582	5.51804770258432	5.67742482283219	5.21727080269128	4.9584292417474	5.17555779598939	5.69939172664656
ABT1	5.4254783995027	5.49387844333275	5.68419196387709	5.17650632835841	5.17414924831686	5.40432711408261	5.52821856152301	5.38676664755909	5.40725362046518	5.0130768532808	5.13645163509676	5.4277219271008
ABTB1	3.16588172902755	2.75475622004054	2.84626377371543	2.95740858965556	3.38326498006054	3.15384918100417	2.40586731734324	2.30478597774713	2.98259855037083	2.58482991785765	1.4274144906159	2.06826586138027
ABTB2	2.13709900080237	2.63374624304174	2.69832150015536	2.71852505227425	2.64679525027947	2.19445826947977	1.6745700223246	1.76219829462531	2.29632722494741	2.71611561835692	2.24184142296307	0.74363677652187
ACAA1	6.37709486965891	6.44489774949509	6.58698360337107	6.39943365047743	6.29492566876184	6.10552320651203	5.85484197318066	6.01988948168372	6.15199460666528	5.98084343411926	5.98068281594253	5.96446966806558
ACAA2	2.85540636806966	3.2240195513934	4.22388499388428	3.64482465964893	3.21065749395102	3.08322157880933	2.50532536043928	3.02319111467498	3.75639773562203	3.64561788165397	2.77063016858767	2.99511717463536
ACACA	6.20313500678721	6.54896516362505	5.81746956476453	6.66467847878124	6.81143327525919	6.75552756205825	6.35897391501775	6.25575178394276	6.18574186899553	7.02901445426387	6.91794747816322	6.38553970985865
ACACB	4.11884833481056	4.36222440391698	3.48367927910648	0.137604538820817	4.66119374084942	4.80917115154526	2.83525163362671	3.35403841100526	0.793293459247697	0.823650144971373	-1.87078230047805	2.43380065414428
ACAD10	4.86742737859707	4.69691025563814	4.7412647035476	4.85569821791173	4.68238348916573	5.44948295615131	4.57815349815729	4.05727808694945	4.94102669247085	4.9663639243209	4.93087879617543	4.81653871712176
ACAD11	5.56969431540953	5.39804434374681	5.41232136543759	4.82837244493894	5.20166624875773	5.62340993134378	5.59747495590874	5.42856589890908	5.55993418434273	5.06572980251241	5.21988096690485	6.00011545441376
ACAD8	4.14269984845897	4.13832298033117	4.06983787202978	4.23873124933064	3.91525649185576	4.55020484018606	6.65114088326362	6.40668232748896	6.55821530268875	6.90239060551839	7.07442193654345	6.70829714470105
ACAD9	4.79402025883856	4.13832298033117	4.90883419215273	4.69993748186628	4.62412829364031	4.83447683596706	3.42719098286745	4.12663951444209	4.65366682607803	4.92624677536398	4.83099703401356	4.54170761470756
ACADL	0.975213461854086	0.94294327985824	1.57821522570187	1.12867837543089	1.42194662544478	1.48821585424703	0.254606055160633	0.608318146360398	0.374832132018201	0.190499014051618	1.4274144906159	1.69440721250018
ACADM	6.76217933841704	7.07127220190713	6.97478539860178	6.59636905298229	6.61210926248775	6.76589934643088	6.15421388086443	6.70636854146574	6.49879675081814	6.15062835388483	6.20411013385999	6.5720603789656
ACADS	4.54115518815402	4.38739843058173	4.49447296341806	4.46205350256616	4.4194095444354	4.86637380537914	4.36772034289075	3.87220717680708	4.51108184120183	4.74439590397462	4.83371606223658	4.07824744745229
ACADSB	6.32904964046218	6.18023613159865	6.30565869877134	6.18409626608014	6.15792329168323	6.47891366960639	5.78869464118987	6.0319921385575	5.78700245656145	5.6490782818652	5.91928719458611	6.38466995078026
ACADVL	8.18893876619904	7.96907085390483	7.99172722177795	8.03836334567832	8.05018030760495	8.19868655395509	8.62999922438257	8.34467792778953	8.81130508879766	9.03548792569915	8.91325112650958	8.2688476879664
